name,price,datetime
Fiendish Amu Glyph x10,3000,2025-03-01T06:54:22
Faust Recipe,15000,2025-03-01T06:54:22
Fiendish Amu Glyph x10,3000,2025-03-01T06:52:42
Wolver Cap,2000,2025-03-01T06:13:24
Autogun,2555,2025-03-01T06:09:46
Flourish,2555,2025-03-01T06:09:46
Blaster,1999,2025-03-01T06:09:22
Blaster,1999,2025-03-01T06:09:22
Autogun,1999,2025-03-01T06:08:24
Autogun,1999,2025-03-01T06:08:24
Magic Hood,2999,2025-03-01T06:08:06
Magic Hood,2999,2025-03-01T06:08:06
Magic Cloak,2999,2025-03-01T06:08:06
Magic Cloak,2999,2025-03-01T06:08:06
Magic Cloak,2999,2025-03-01T06:08:06
Gel Core,10,2025-03-01T03:56:26
Monster Bone,200,2025-03-01T03:56:26
Phial of Phear,50,2025-03-01T03:56:26
Brimstone,50,2025-03-01T03:56:02
Peridot Lucky Topper,50000,2025-03-01T03:38:06
Shining Forge Prize Box,60000,2025-03-01T03:20:04
Cool Vitakit,50000,2025-03-01T03:18:06
Miracloth x2,999,2025-03-01T02:20:04
Miracloth x2,999,2025-03-01T02:20:04
Maiden's Tear,15000,2025-03-01T02:16:01
Silver Lockbox,2900,2025-03-01T01:54:21
Gigawatt Pulsar Recipe,20000,2025-03-01T01:36:26
Brandish,100000,2025-03-01T01:36:02
White Holiday Presents,24999,2025-03-01T01:31:01
Electron Charge,130000,2025-03-01T01:27:41
Brandish,500000,2025-03-01T01:27:41
Winter Grave Recipe,40000,2025-03-01T01:04:21
Mega Tundrus Recipe,20000,2025-03-01T01:04:21
Brandish,5000,2025-03-01T00:11:27
Fine Fabric,999,2025-03-01T00:08:06
Fine Fabric,999,2025-03-01T00:08:06
Brandish,45000,2025-02-28T23:58:06
Blaze Pepper x100,10000,2025-02-28T23:23:23
Crest of Ur x100,25000,2025-02-28T23:23:06
Nightmare Mane,22222,2025-02-28T23:18:06
Advanced Orb of Alchemy,4300,2025-02-28T22:54:46
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Spark of Life,1543,2025-02-28T22:41:27
Plasma Cell,800,2025-02-28T22:34:46
Thunderball,800,2025-02-28T22:34:21
Silver Lockbox,15000,2025-02-28T22:26:26
Steel Lockbox,10000,2025-02-28T22:26:01
Haunted Aura,80000,2025-02-28T22:09:21
Flawed Snowball,1999,2025-02-28T21:53:06
Iron Wolf Armor,80000,2025-02-28T21:51:01
Toasty Goggles,4000,2025-02-28T21:38:06
Fine Fabric,999,2025-02-28T21:21:26
Barbarous Thorn Shield Recipe,29000,2025-02-28T21:11:26
Heavy Mech'tennas,50000,2025-02-28T20:26:01
Brandish,4000,2025-02-28T20:03:05
Brandish,4000,2025-02-28T20:03:05
Brandish,1600,2025-02-28T20:01:44
Eternal Orb of Alchemy,16950,2025-02-28T19:51:26
Fiendish Amu Glyph x5,1000,2025-02-28T18:43:05
Fiendish Nok Glyph x4,800,2025-02-28T18:43:05
Fiendish Sol Glyph x5,1000,2025-02-28T18:43:05
Fiendish Tor Glyph x5,1000,2025-02-28T18:43:05
Hallow Dapper Combo,1100,2025-02-28T18:21:01
Jack o' Bombhead Mask,1260,2025-02-28T18:21:01
Regal Field Cap,1150,2025-02-28T18:19:21
Toasty Helm Guards,1200,2025-02-28T18:17:41
Regal Grand Topper,1440,2025-02-28T18:17:41
Hallow Crescent Helm,1200,2025-02-28T18:16:01
Hallow Tailed Helm,1050,2025-02-28T18:16:01
Jack o' Bombhead Mask,1200,2025-02-28T18:15:35
Cool Binoculars,1050,2025-02-28T18:13:55
Hallow Intel Tube,1000,2025-02-28T18:13:05
Hallow Wide Vee,1000,2025-02-28T18:13:05
Hallow Canteen,1260,2025-02-28T18:12:41
Shadow Orb x6,9000,2025-02-28T17:06:32
Power Orb x2,2500,2025-02-28T17:04:52
Fusion Blaster Recipe,13000,2025-02-28T16:17:15
Hallow Pith Helm,1000,2025-02-28T15:27:15
Hallow Cuirass,1000,2025-02-28T15:25:35
Fusion Blaster Recipe,15000,2025-02-28T15:18:06
Frosty Intel Tube,15000,2025-02-28T12:59:46
Gold Lockbox,8000,2025-02-28T12:58:06
Shadow Blaster Recipe,8000,2025-02-28T12:28:55
Advanced Orb of Alchemy,4899,2025-02-28T09:46:26
Advanced Orb of Alchemy,4899,2025-02-28T09:46:26
Fiendish Amu Glyph x10,3000,2025-02-28T09:33:24
Brandish,2200,2025-02-28T09:27:15
Regal Targeting Module,1440,2025-02-28T09:08:55
Frosty Plate Helm,10000,2025-02-28T09:02:15
Pierce Blaster Recipe,6000,2025-02-28T08:50:35
Elite Orb of Alchemy,8900,2025-02-28T08:48:06
Elite Orb of Alchemy,8900,2025-02-28T08:48:06
Autogun,1444,2025-02-28T08:46:32
Autogun,1444,2025-02-28T08:46:32
Brandish,1444,2025-02-28T08:46:32
Brandish,1444,2025-02-28T08:46:32
Magic Cloak,2555,2025-02-28T08:46:32
Magic Cloak,2555,2025-02-28T08:46:32
Brandish,1444,2025-02-28T08:46:26
Brandish,1444,2025-02-28T08:46:26
Wolver Coat,2555,2025-02-28T08:46:26
Wolver Coat,2555,2025-02-28T08:46:26
Divine Tome of Rage,392000,2025-02-28T08:30:35
Arcana Recipe,31000,2025-02-28T08:21:26
Spike Shower Recipe,15000,2025-02-28T08:09:52
Sacred Falcon Sentinel Armor Recipe,30000,2025-02-28T08:09:46
Advanced Orb of Alchemy,4599,2025-02-28T08:08:06
Silver Lockbox,9999,2025-02-28T07:47:15
Silver Lockbox,9999,2025-02-28T07:46:44
Military Helm-Mounted Display,23500,2025-02-28T07:45:35
Military Intel Tube,47500,2025-02-28T07:45:04
"Slime, Large Firework x6",896,2025-02-28T07:42:15
"Slime, Small Firework x18",1980,2025-02-28T07:42:15
Slime Confetti x40,1580,2025-02-28T07:36:44
Philoso Feather x5,1200,2025-02-28T07:15:04
Philoso Feather x5,1200,2025-02-28T07:15:04
Philoso Feather x5,1200,2025-02-28T07:15:04
Philoso Feather x5,1200,2025-02-28T07:15:04
Philoso Feather x5,1200,2025-02-28T07:15:04
Philoso Feather x5,1200,2025-02-28T07:15:04
Philoso Feather x5,1200,2025-02-28T07:15:04
Philoso Feather x5,1200,2025-02-28T07:15:04
Power Orb x4,4000,2025-02-28T07:10:04
Frosty Wind-up Key,23700,2025-02-28T06:50:04
Toasty Node Container,8000,2025-02-28T06:46:26
Dusky Targeting Module,15400,2025-02-28T06:45:05
Heavy Grand Topper,6000,2025-02-28T06:44:46
Slumber Headband,5200,2025-02-28T06:44:46
Glacial Toupee,11000,2025-02-28T06:43:24
Heavy Canteen,5000,2025-02-28T06:43:24
Frosty Mustache,5000,2025-02-28T06:43:06
Frosty Pipe,15000,2025-02-28T06:43:06
Fancy Node Container,5200,2025-02-28T06:41:44
Radiant Forge Prize Box,80000,2025-02-28T06:01:32
Winter Grave Recipe,40000,2025-02-28T05:53:06
Silver Lockbox,10000,2025-02-28T05:51:26
Fancy Headband,2500,2025-02-28T05:51:26
Advanced Orb of Alchemy,4599,2025-02-28T05:49:46
Advanced Orb of Alchemy,4599,2025-02-28T05:48:06
Spike Shower Recipe,12999,2025-02-28T05:18:06
Grinchlin Snowball,1999,2025-02-28T04:58:06
Swiftstrike Buckler,55555,2025-02-28T04:51:26
Silver Lockbox,3022,2025-02-28T04:41:44
Silver Lockbox,10000,2025-02-28T04:06:26
Military Node Receiver,20000,2025-02-28T03:26:44
Military Node Receiver,20000,2025-02-28T03:26:44
Cool Node Receiver,50000,2025-02-28T03:21:32
Cool Node Container,50000,2025-02-28T03:21:26
Heavy Node Container,20000,2025-02-28T03:19:52
Volcanic Node Container,50000,2025-02-28T03:19:52
Regal Node Receiver,15000,2025-02-28T03:19:46
Dusky Binocular Visor,5000,2025-02-28T03:13:12
Hallow Crescent Helm,5000,2025-02-28T02:14:46
Gold Wolf Armor,80000,2025-02-28T02:01:26
Iron Wolf Helm,70000,2025-02-28T02:01:26
Prime Bombhead Mask,30000,2025-02-28T01:26:32
Dark Thorn Blade Recipe,14000,2025-02-28T01:26:26
Dark Thorn Blade Recipe,14000,2025-02-28T01:26:26
